,names,country_of_origin,age,colour,sex,import_type,total_stakes,no_of_1_starts,no_of_2_starts,no_of_3_starts,total_starts,sire,dam,dam_sire
3568,APACHE CAT (K625),AUS,,Chestnut , Gelding,VIS,1200000,0,0,1,2,Lion Cavern,Tennessee Blaze,Whiskey Road
3569,MYTHICAL FLIGHT (K626),SAF,,Chestnut , Gelding,VIS,0,0,0,0,1,Jet Master,Mythical Bird,Harry Hotspur
3570,LA BOUM (K627),GER,,Brown , Mare,VIS,0,0,0,0,0,Monsun,La Bouche,In The Wings
3571,WAIKATO (K628),NZ,,Bay , Gelding,VIS,0,0,0,0,1,Pins,Skywalker Wilkes,Skywalker
3572,ABBADJINN (K629),GER,,Grey , Gelding,VIS,0,0,0,0,1,Big Shuffle,Abba,Goofalik
3573,LAUREL GUERREIRO (K630),JPN,,Dark Bay ,,VIS,0,0,0,0,2,King Halo,Big Tenby,Tenby
3574,MOORHOUSE LAD (K631),GB,,Bay , Gelding,VIS,0,0,0,0,1,Bertolini,Record Time,Clantime
3575,STAR CROWNED (K632),USA,,Bay , Horse,VIS,0,0,0,0,0,Kingmambo,Fashion Star,Chief's Crown
3576,TOSHO COURAGE (K633),JPN,,Bay , Horse,VIS,0,0,0,0,1,Last Tycoon,Rose Tosho,Sakura Bakushin O
3577,CHIU CHOW BROTHER (K634),USA,,Dark Bay ,,VIS,0,0,0,0,1,Matty G,Dodgy Bid,Wavering Monarch
3578,BINGO STAR (K635),NZ,,Bay , Gelding,VIS,0,0,0,0,1,Stravinsky,Mardayin,Thunder Gulch
3579,JAZZA BELL (K636),AUS,,Bay , Gelding,VIS,0,0,0,0,2,Zabeel,Alharir,Jeune
3580,TEST OF TIME (K637),AUS,,Chestnut , Gelding,VIS,0,0,0,0,0,Testa Rossa,Tonicity,Blazing Sword
3581,PRESVIS (K638),GB,,Bay , Gelding,VIS,10690000,1,0,1,4,Sakhee,Forest Fire,Never So Bold
3582,CHINCHON (K639),IRE,,Bay , Horse,VIS,800000,0,0,0,3,Marju,Jarama,Hector Protector
3583,ALEXANDROS (K640),GB,,Chestnut , Horse,VIS,0,0,0,0,2,Kingmambo,Arlette,King Of Kings
3584,IMBONGI (K641),SAF,,Chestnut , Gelding,VIS,240000,0,0,0,2,Russian Revival,Garden Verse,Foveros
3585,DAO DAO (K642),AUS,,Brown , Gelding,VIS,1200000,0,0,1,2,Shinko Forest,Casual Way,Casual Lies
3586,DANESOUTH (L001) (Deregistered),NZ,,Brown , Gelding,PP,2542225,4,7,5,59,Danroad,Smytzer's Theme,Pompeii Court
3587,ST FEVRE (L002) (Retired),AUS,,Bay , Gelding,PP,3144500,1,4,2,22,Dehere,Miss Candy,Canny Lad
3588,MR CELERITY (L003) (Deregistered),AUS,,Bay , Gelding,PP,2063750,3,1,1,10,Fusaichi Pegasus,Quinsigimond,Formidable
3589,MY MATE ADRIC (L004) (Retired),NZ,,Bay , Gelding,PP,2096125,2,2,5,28,Istidaad,Nassipour Gem,Nassipour
3590,SUPER GURU (L005) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,7,King Cugat,Miscellanea,Vettori
3591,TAKEANOTHERCHANCE (L006) (Retired),NZ,,Bay , Gelding,PP,1279250,1,3,0,23,No Excuse Needed,Eileen Hardy,O'Reilly
3592,BEST MILITARY (L007) (Retired),AUS,,Bay ,,PP,80750,0,0,0,11,Redoute's Choice,Foxwood,Centaine
3593,QUELLE SURPRISE (L008) (Retired),NZ,,Bay , Gelding,PP,323150,0,1,1,20,Spartacus,Maharani,Vice Regal
3594,LUNAR REFLECTIONS (L009) (Retired),NZ,,Chestnut , Gelding,PP,3072750,4,3,3,28,Thorn Park,Northwood Fair,Fairy King
3595,GREEN JACKET (L010) (Retired),NZ,,Chestnut , Gelding,PP,868000,1,1,1,11,Thorn Park,Rebellious Angel,Success Express
3596,JEN TRUMPS (L011) (Retired),NZ,,Chestnut , Gelding,PP,0,0,0,0,5,Thorn Park,Summertime Angel,Volksraad
3597,ETERNAL BEAUTY (L012) (Retired),NZ,,Bay , Gelding,PP,2483700,3,4,3,25,Towkay,Follow The Sun,Centaine
3598,SHIFACHI TRADITION (L013) (Deregistered),NZ,,Chestnut , Gelding,PP,1604125,1,4,2,42,Traditionally,Tralae,Snippets
3599,PERFECT GEAR (L014) (Retired),NZ,,Bay , Gelding,PPG,3526625,5,2,3,43,Align,Bold Vision,Vision
3600,SUPER GOAL CHAMP (L015) (Retired),NZ,,Chestnut , Gelding,PPG,21875,0,0,0,3,Align,Crystal Jet,Clay Hero
3601,JIMSON THE BEST (L016) (Retired),NZ,,Bay , Gelding,PPG,4985525,4,12,5,47,Align,Happy Features,Famous Star
3602,APEX (L017) (Retired),AUS,,Brown , Gelding,PPG,37500,0,0,0,3,Bel Esprit,Scarlet Rocket,Rory's Jester
3603,FAIRY DRAGON (L018) (Retired),NZ,,Brown , Gelding,PPG,731125,1,1,2,29,Bertolini,Kay's Quest,Dedicated Rullah
3604,ALL THE WINNERS (L019) (Retired),NZ,,Bay , Gelding,PPG,1892725,4,1,2,44,Black Minnaloushe,The Mighty Lions,Grosvenor
3605,GENERAL DANROAD (L020) (Retired),NZ,,Chestnut , Gelding,PPG,2006300,3,4,5,41,Danroad,Milled Dollar,Real Cash
3606,YUAN'S FORTUNE (L021) (Retired),NZ,,Bay , Gelding,PPG,2573600,3,5,7,50,Danroad,Snow Reason,Sound Reason
3607,UP RISING (L022) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,3,Danske,Stella Verde,Green Perfume
3608,ROMANTIC CITY (L023) (Retired),NZ,,Brown , Gelding,PPG,4419625,6,4,2,34,Elusive City,Sulina,Mi Preferido
3609,CHAMPAGNE DAYS (L024) (Retired),AUS,,Bay , Gelding,PPG,3358400,3,5,9,44,Encosta de Lago,Petta Gaye,Danehill
3610,MIGHTY FEELING (L025) (Retired),AUS,,Chestnut , Gelding,PPG,962088,2,0,2,25,Faltaat,Clear Advantage,Stark South
3611,GOLD RUSH (L026) (Retired),AUS,,Bay , Gelding,PPG,880950,1,2,2,24,Faltaat,Joan's Best,Gold Brose
3612,BUMBLE BEE (L027) (Retired),AUS,,Chestnut , Gelding,PPG,164375,0,0,1,14,French Deputy,Come Up Smiling,Gone West
3613,KING GALILEO (L028) (Retired),AUS,,Bay , Gelding,PPG,944100,1,2,5,37,Galileo,Seattle Swing,Seattle Dancer
3614,PLANET (L029) (Retired),NZ,,Brown , Gelding,PPG,1296475,2,2,6,35,Gold Mine,Fairy Floss,Spinning World
3615,PERFECT TEN (L030) (Retired),NZ,,Bay , Gelding,PPG,1902295,2,5,3,42,Howbaddouwantit,Bristol Channel,English Harbour
3616,FULL STAR (L031) (Retired),NZ,,Brown , Gelding,PPG,197550,0,1,1,17,Istidaad,Tennis,Spectacular Love
3617,ABSOLUTE HEDGE (L032) (Retired),NZ,,Bay , Gelding,PPG,3918375,5,4,2,27,Justice Prevails,Kin Baby,Kinjite
3618,MOUNT VICTORY (L033) (Retired),NZ,,Bay , Gelding,PPG,1352500,2,2,4,31,Montjeu,Altaat,Faltaat
3619,SOLAR WONDER (L034) (Retired),NZ,,Bay , Gelding,PPG,1653675,3,3,3,38,Montjeu,El Fugaz,Sir Avon
3620,MISTER HORSE (L035) (Retired),AUS,,Bay , Gelding,PPG,676850,0,1,5,26,Mossman,Brighter View,Scenic
3621,GOLDMEN Y Y (L036) (Retired),NZ,,Bay , Gelding,PPG,2112250,3,1,9,49,New Trumps,Coco Hoi,Zabeel
3622,TAI SING YEH (L037) (Retired),AUS,,Bay , Gelding,PPG,6495500,7,3,1,37,Not A Single Doubt,Precious Lass,Ashkalani
3623,G-ONE CHAMPION (L038) (Retired),NZ,,Brown , Gelding,PPG,0,0,0,0,0,O'Reilly,Back To Back,Centaine
3624,ACACIAS (L039) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,1,O'Reilly,Khaielly Princess,Khairpour
3625,TOPPING LIGHT (L040) (Retired),NZ,,Bay , Gelding,PPG,3403000,4,4,7,25,Pins,Go Our Jewel,Danasinga
3626,SPLENDID CHAMPION (L041) (Retired),NZ,,Bay , Gelding,PPG,1293650,2,2,1,32,Postponed,Safari Queen,Volksraad
3627,LINKED WIN (L042) (Retired),NZ,,Brown , Gelding,PPG,940600,2,1,0,37,Seasoned Star,Pure Satin,Personal Escort
3628,IMAGINATION (L043) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,12,Shinko King,Reflecting On,Volksraad
3629,TREMENDOUS ADD (L044) (Retired),NZ,,Bay , Gelding,PPG,2039250,3,3,1,14,Storm Creek,Laura Baker,Theatrical
3630,RAY'S FAVOURITE (L045) (Retired),NZ,,Chestnut , Gelding,PPG,2392500,4,6,2,37,Strategic Image,Katie,Desert Sun
3631,FIONN'S DRAGON (L046) (Retired),NZ,,Bay , Gelding,PPG,2304575,2,7,2,20,Stravinsky,Gypsy Moth,Zabeel
3632,SPARKLING FEELING (L047) (Retired),NZ,,Brown , Gelding,PPG,356250,1,0,0,8,Towkay,Auxerre,Carolingian
3633,HAPPY TUMBLER (L048) (Retired),AUS,,Chestnut , Gelding,PP,4106500,3,7,2,43,Danehill Dancer,Magic Tumbler,Woodman
3634,FREE AND EASY (L049) (Retired),AUS,,Chestnut , Gelding,PP,1896000,1,4,3,27,Hussonet,Kristopher Street,Kris S
3635,MOCHA COFFEE (L050) (Retired),AUS,,Bay , Gelding,PP,238000,0,1,0,5,Quest For Fame,Coffee Delight,Marauding
3636,ROYAL DOCTOR (L051) (Deregistered),AUS,,Bay , Gelding,PP,1984250,1,6,2,16,Royal Academy,Whispering Pines,Bletchingly
3637,SPEEDY PEGASUS (L052) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,2,Scenic,Bellonic,Redding
3638,GOOD NEIGHBOUR (L053) (Retired),NZ,,Brown , Gelding,PPG,0,0,0,0,0,Black Minnaloushe,Kiwi Magic,Vice Regal
3639,PROSPEROUS (L054) (Retired),AUS,,Bay , Gelding,PPG,1945113,3,3,2,27,Blackfriars,It's Not True,Carry A Smile
3640,CHIEF SUCCESSOR (L055) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,2,Blevic,Mystic Grey,Sanction
3641,MILLION DARLING (L056) (Retired),AUS,,Bay , Gelding,PPG,939475,1,3,1,6,Canny Lad,Rebaceda,Success Express
3642,LIGHT ALLOY (L057) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Danzero,Malin Head,Ahonoora
3643,SUPER WAY (L058) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,1,Desert Prince,Achieving,Marauding
3644,VINSANTO (L059) (Retired),AUS,,Bay , Gelding,PPG,153750,0,1,0,14,Elusive Quality,Fantail,Lear Fan
3645,HOT ASSET (L060) (Retired),AUS,,Chestnut , Horse,PPG,704175,0,4,1,17,Encosta de Lago,Steamheat,Broad Brush
3646,SUPER GALILEO (L061) (Retired),AUS,,Bay , Gelding,PPG,360000,1,0,1,23,Galileo,Bon Fire,Octagonal
3647,CHAMPION FRUIT (L062) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Giant's Causeway,Devils Marble,Danehill
3648,SONOFTHEWEST (L063) (Retired),AUS,,Bay , Gelding,PPG,669500,1,2,1,27,Invincible Spirit,Glow Baby,Rancho Ruler
3649,SAME SAME (L064) (Retired),AUS,,Brown , Gelding,PPG,18375,0,0,0,10,Lacryma Cristi,Elegant Rhapsody,Kenny's Best Pal
3650,SUPREME TAIJI (L065) (Retired),AUS,,Bay , Gelding,PPG,1909725,2,2,7,28,Royal Applause,Ikhlas,Lahib
3651,GLORY (L066) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,4,Taimazov,La Tache,Mukaddamah
3652,SPICY SHRIMP (L067) (Retired),AUS,,Bay , Gelding,PPG,3314725,7,4,4,60,Tale Of The Cat,Razor Jane,Eagle Eyed
3653,CITY ELITE (L068) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Umatilla,Kadidja,Lord Seymour
3654,GREAT FANTASY (L069) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,9,Volcanic Prince,Shock Horror,Final Card
3655,LUCKY FOLLOW ME (L070) (Retired),GB,,Chestnut , Gelding,PP,1538350,3,1,1,30,Bertolini,Armada Grove,Fleetwood
3656,INVINCIBLE HEART (L071) (Retired),GR,,Bay , Gelding,PP,781725,1,2,1,33,Invincible Spirit,Flamingo Bay,Catrail
3657,ENGOL (L072) (Retired),IRE,,Bay , Gelding,PP,0,0,0,0,1,Galileo,Alfaguara,Red Ransom
3658,COIN A LEGEND (L073) (Retired),IRE,,Bay , Colt,PP,0,0,0,0,1,Intikhab,Triton Dance,Hector Protector
3659,YOUNG SUPREME (L074) (Retired),IRE,,Bay , Gelding,PP,1680375,3,2,6,51,Invincible Spirit,Up On Points,Royal Academy
3660,GLORIOUS ERA (L075) (Deregistered),IRE,,Bay , Gelding,PP,0,0,0,0,2,Royal Applause,Aweless,Seattle Slew
3661,HANDSOME BATCHELOR (L076) (Retired),IRE,,Bay , Gelding,PP,2342925,2,7,4,45,Trans Island,Batchelor's Button,Kenmare
3662,CENTRAL ROLE (L077) (Retired),AUS,,Brown , Gelding,PP,618250,1,1,0,13,Danehill Dancer,Western Chorus,Western Symphony
3663,DANE PATROL (L078) (Retired),AUS,,Bay , Gelding,PP,6382525,9,4,4,57,Danewin,Kimash,Jeune
3664,DIAMOND RAINBOW (L079) (Retired),AUS,,Chestnut , Gelding,PP,1263125,1,5,1,31,Hold That Tiger,Unspoken Courage,Swamp King
3665,GALLANT GALLOP (L080) (Retired),AUS,,Chestnut , Gelding,PP,159650,0,0,0,25,Iglesia,Danequillo,Danehill
3666,HAPPY PRESTIGE (L081) (Retired),AUS,,Bay , Gelding,PP,1666250,1,2,3,17,Mull Of Kintyre,So Spectacular,Spectacular Spy
3667,CAT STORM (L082) (Retired),AUS,,Chestnut , Gelding,PP,1101250,2,0,1,11,Tale Of The Cat,Eternal Youth,Fairy King
3668,MOONWALK (L083) (Retired),NZ,,Bay , Gelding,PP,2001500,3,1,0,18,Traditionally,Waikiki Princess,Turtle Island
3669,SUPREME YEARS (L084) (Retired),AUS,,Bay , Gelding,PPG,72500,0,0,0,13,Blevic,Eternal Desire,Euclase
3670,FIRST IN COMMAND (L085) (Retired),AUS,,Brown , Gelding,PPG,3557250,5,4,3,31,Commands,Glenbawn,Bigstone
3671,RUGBY HEAVEN (L086) (Retired),AUS,,Bay ,,PPG,675000,1,2,0,8,Desert Sun,Sincerely Yours,Victory Prince
3672,TOM'S EIGHTH (L087) (Retired),AUS,,Bay , Gelding,PPG,2568775,4,3,4,42,Encosta de Lago,Diva's Magic,Redoute's Choice
3673,LOADS OF JOY (L088) (Retired),AUS,,Bay ,,PPG,3553800,6,1,7,56,Face Value,More Than Fair,Military Plume
3674,LOTS OF FUN (L089) (Retired),AUS,,Chestnut , Gelding,PPG,124500,0,0,0,18,Hold That Tiger,Flying Love,St Covet
3675,OVER THE MOON (L090) (Retired),NZ,,Brown , Gelding,PPG,0,0,0,0,2,Oregon,Ebony Lady,Centaine
3676,OPEN SESAME (L091) (Retired),IRE,,Bay , Gelding,PP,3143200,4,5,2,44,Key Of Luck,Chiquita Linda,Mujadil
3677,DEPOSER (L092) (Retired),IRE,,Bay , Gelding,PP,1181625,1,1,3,31,Kheleyf,Bezant,Zamindar
3678,CHATER WAY (L093) (Retired),GB,,Bay , Gelding,PP,7612250,3,5,5,43,Oasis Dream,Singed,Zamindar
3679,ROYAL KNIGHT (L094) (Retired),USA,,Bay , Gelding,PP,1372925,1,3,3,36,Royal Academy,Guillotine,Proud Truth
3680,LITTLE DREAMS (L095) (Retired),FR,,Bay , Gelding,PP,5168750,3,8,1,31,Della Francesca,Little Anchor,Kendor
3681,MIGHTY HIGH (L096) (Retired),FR,,Bay , Gelding,PP,10854779,4,3,4,34,Peintre Celebre,Bernimixa,Linamix
3682,MR TOPAZ (L097) (Retired),IRE,,Bay , Horse,PP,485050,0,1,3,23,Celtic Swing,Magical Peace,Magical Wonder
3683,HORSESHOE FORTUNE (L098) (Retired),IRE,,Bay , Gelding,PP,1393950,1,2,4,48,Chineur,Sans Reserve,Foxhound
3684,SUPER PISTACHIO (L099) (Retired),IRE,,Bay , Gelding,PP,9305500,1,5,2,38,Danehill Dancer,Pharapache,Lyphard
3685,STRAIGHT FORWARD (L100) (Deregistered),GB,,Bay , Gelding,PP,2728500,3,2,1,32,Galileo,Patacake Patacake,Bahri
3686,GREAT LUCK (L101) (Retired),IRE,,Bay , Gelding,PP,60800,0,0,0,13,King's Best,Ebadiyla,Sadler's Wells
3687,ELEGANCE DESIRE (L102) (Retired),GB,,Chestnut , Gelding,PP,3066125,2,5,4,20,Medicean,Giusina Mia,Diesis
3688,SWEET SANETTE (L103) (Retired),SAF,,Bay , Mare,PP,6028080,4,3,3,15,Jallad,Scented Samantha,National Assembly
3689,CHINA DRAGON (L104) (Retired),SAF,,Chestnut , Gelding,PP,147200,0,0,2,23,Manshood,Break North,Northern Guest
3690,WOODSTOCK (L105) (Retired),SAF,,Chestnut , Gelding,PPG,0,0,0,0,6,Kahal,Vintage Event,Braashee
3691,SUPREME TYCOON (L106) (Retired),NZ,,Bay , Gelding,PP,1628450,2,4,3,43,Al Akbar,Plain Jill,Kinjite
3692,PERFECT SPRINT (L107) (Retired),NZ,,Chestnut , Gelding,PP,1304750,1,0,6,17,Align,Dazzling Dancer,Kashani
3693,MASTER TOUCH (L108) (Retired),NZ,,Bay , Gelding,PP,484500,0,1,2,14,My Halo,Ashberg,Bigstone
3694,ROMA THUNDER (L109) (Retired),NZ,,Bay , Gelding,PP,463250,0,1,2,9,O'Reilly,Zazu,Rhythm
3695,JUN DAO (L110) (Retired),NZ,,Bay , Gelding,PP,3121000,4,3,4,38,Rusty Spur,Vixsun,Desert Sun
3696,STAR SON (L111) (Retired),NZ,,Bay , Gelding,PP,190063,0,0,2,13,Seasoned Star,Alight,Personal Escort
3697,CARISSIMA (L112) (Retired),NZ,,Bay , Gelding,PP,57500,0,0,1,20,Stravinsky,Enzedbee,Gold Brose
3698,GOOD JOB (L113) (Retired),NZ,,Bay , Gelding,PPG,631200,0,4,2,31,Danroad,Judette,Westminster
3699,PRAISING (L114) (Retired),AUS,,Bay , Gelding,PPG,2036125,2,4,4,14,Flying Spur,Movie Star,Dehere
3700,ST DIDAR (L115) (Retired),NZ,,Bay , Gelding,PPG,3761375,5,5,5,28,Keeper,Jazzmatazz,Citidancer
3701,KINGSTON SPARTACUS (L116) (Retired),NZ,,Chestnut , Gelding,PPG,2137950,3,4,1,37,Spartacus,Down The Avenue,Salieri
3702,HEARTY HEARTY (L117) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,0,Strategic Image,Dark Sequin,Grosvenor
3703,LUCKY NISTELROOY (L118) (Retired),NZ,,Bay , Gelding,PPG,1918325,2,4,7,31,Van Nistelrooy,Amusing,Wallenda
3704,WINNING BONUS (L119) (Retired),AUS,,Chestnut , Gelding,PP,0,0,0,0,4,Catbird,Snippet's Dancer,Snippets
3705,MASARYK (L120) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,5,General Nediym,Masked Dancer,Umatilla
3706,HEXAGON (L121) (Retired),AUS,,Brown , Gelding,PP,545850,1,1,1,26,Lonhro,Newport Beach,Danehill
3707,MULTILOVE (L122) (Retired),AUS,,Bay , Gelding,PPG,127500,0,1,0,10,Citizen Kane,Flying Bron,Brondesbury
3708,FISHKING GLORY (L123) (Retired),AUS,,Bay , Gelding,PPG,780550,0,2,6,19,Elusive Quality,Zecchino,Fairy King
3709,BREEZE OF LUCK (L124) (Retired),AUS,,Chestnut , Gelding,PPG,1594200,2,2,4,25,Flying Spur,Fuji Dancer,Fuji Kiseki
3710,TOUCH CHIC (L125) (Retired),AUS,,Bay , Gelding,PPG,796050,2,0,0,6,Good Journey,Outgunned,Military Plume
3711,MY GOOD FRIEND (L126) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,4,King Of Prussia,Snowline,Ivory's Irish
3712,MORE LUCKY (L127) (Retired),USA,,Bay ,,PPG,237050,0,0,1,14,More Than Ready,Wildcat Victory,Forest Wildcat
3713,BEAR ELEGANT (L128) (Retired),USA,,Grey , Filly,PPG,0,0,0,0,0,Unbridled's Song,Bear Fan,Pine Bluff
3714,SURROUNDED (L129) (Retired),USA,,Bay , Gelding,PPG,1887125,3,4,3,40,War Chant,Andalucian,Zafonic
3715,RIVER CAPTAIN (L130) (Retired),IRE,,Chestnut , Gelding,PP,29750,0,0,0,6,Captain Rio,Pardoned,Mujadil
3716,DREAMS MAKER (L131) (Retired),IRE,,Bay , Gelding,PP,668800,1,2,0,22,Invincible Spirit,Miriana,Bluebird
3717,ROYAL PANACHE (L132) (Retired),GB,,Bay , Gelding,PP,120000,0,0,0,14,Lucky Story,Arctic Song,Charnwood Forest
3718,JUST GOOD (L133) (Retired),IRE,,Chestnut , Gelding,PPG,1982200,3,3,6,57,Danehill Dancer,Alimony,Groom Dancer
3719,JOLLY GOOD (L134) (Retired),GER,,Brown , Gelding,PP,1995750,3,1,3,58,Dashing Blade,Mistic World,Monsun
3720,CALIFORNIA MEMORY (L135) (Retired),USA,,Grey , Gelding,PP,50696050,9,2,5,39,Highest Honor,Kalpita,Spinning World
3721,HAWTHORNE (L136) (Retired),GB,,Chestnut , Gelding,PP,5631700,6,8,6,65,Footstepsinthesand,Western Bowl,Gone West
3722,MASTER DRAGON (L137) (Retired),GB,,Chestnut , Gelding,PP,850125,1,3,3,26,Haafhd,Megdale,Waajib
3723,EASY WINNER (L138) (Retired),IRE,,Bay , Horse,PP,2820500,2,3,7,29,Le Vie Dei Colori,Wide Range,Spectrum
3724,MAKE IT (L139) (Retired),IRE,,Bay , Gelding,PP,3467675,4,6,5,68,Polish Precedent,Radha,Bishop Of Cashel
3725,PANTHER RUN (L140) (Retired),IRE,,Bay , Gelding,PP,2342300,4,3,1,44,Marju,Be Crafty,Crafty Prospector
3726,CERISE CHERRY (L141) (Deregistered),SAF,,Chestnut , Gelding,PP,15149750,6,4,9,49,Goldkeeper,Cherry Girl,Pochard
3727,NOBLE FLIER (L142) (Retired),AUS,,Brown , Gelding,PP,817400,1,1,5,34,Flying Spur,Bineyah,Sadler's Wells
3728,BEAUTY LEGEND (L143) (Retired),NZ,,Bay , Gelding,PP,1470500,1,0,1,6,Volksraad,Label Basher,Conquistarose
3729,TELECOM HAPPY STAR (L144) (Retired),NZ,,Chestnut , Gelding,PPG,0,0,0,0,0,Align,Ecstatically,Danzero
3730,PIZZAZZ (L145) (Retired),NZ,,Chestnut , Gelding,PPG,3741750,5,5,1,26,Bertolini,Endrita,End Sweep
3731,OYSTER (L146) (Deregistered),NZ,,Bay , Gelding,PPG,3087950,3,8,5,50,Black Minnaloushe,Deputise,Deputy Governor
3732,PINOT NOIR (L147) (Retired),NZ,,Brown , Gelding,PPG,0,0,0,0,10,Black Minnaloushe,Gold Fields,Kaapstad
3733,GLOBAL RULER (L148) (Retired),AUS,,Bay , Gelding,PPG,17500,0,0,0,11,Charge Forward,Sunshine,Kenmare
3734,WIN THE CASH (L149) (Retired),AUS,,Brown , Gelding,PPG,0,0,0,0,3,Danzero,The Roscoe Rose,Thorn Dance
3735,SHINING SPUR (L150) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,4,Flying Spur,Alisara,Zafonic
3736,HEALTHY MANNER (L151) (Retired),AUS,,Chestnut , Gelding,PPG,1887200,4,4,0,26,Fusaichi Pegasus,Lillian Gold,Slew o' Gold
3737,ENTRAPMENT (L152) (Retired),AUS,,Bay , Gelding,PPG,8788250,8,2,1,11,Halo Homewrecker,Miabondialee,Vettori
3738,CHANTILLY (L153) (Retired),NZ,,Bay ,,PPG,1081775,2,0,5,42,Keeper,Kinetic,Jetball
3739,GENERAL SMILE (L154) (Retired),NZ,,Brown , Gelding,PPG,553650,1,1,0,7,Keeper,Symphony,Kaapstad
3740,LOTUS LOVE (L155) (Retired),NZ,,Bay , Gelding,PPG,1905125,1,8,6,48,Keeper,Vintage Belle,Centaine
3741,PERPETUAL KINGDOM (L156) (Retired),AUS,,Bay , Gelding,PPG,71875,0,0,1,6,King Cugat,Gypsy Glory,Gypsy Kingdom
3742,KUNG HEI FAT CHOI (L157) (Retired),NZ,,Chestnut , Gelding,PPG,942375,2,0,3,23,Spartacus,Lynisky,Stravinsky
3743,FLASHING GUY (L158) (Retired),NZ,,Bay , Gelding,PPG,3795125,3,10,7,60,Strategic Image,Flounce,Prince Ferdinand
3744,FOREVER JOYFUL (L159) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,0,Stratum,Young American,Charnwood Forest
3745,WATCH FIRST (L160) (Retired),NZ,,Bay , Gelding,PPG,1158775,1,3,4,36,Towkay,Ballistic,Lord Ballina
3746,SUNSEEKER (L161) (Retired),AUS,,Grey , Gelding,PP,472800,0,2,1,31,Dehere,Casigris,Cozzene
3747,JUN QI (L162) (Retired),NZ,,Bay , Gelding,PP,757500,1,0,1,12,Pentire,She's Heaven Cent,Centaine
3748,SHINING VICTORY (L163) (Retired),AUS,,Chestnut , Gelding,PP,3178625,3,4,2,25,Untouchable,Madame Misty,Luskin Star
3749,FOR SZESZE SAN (L164) (Retired),AUS,,Bay , Gelding,PPG,44800,0,0,0,5,Alannan,Biography,Rory's Jester
3750,PONDEROSA (L165) (Retired),AUS,,Bay , Gelding,PPG,720000,1,2,1,7,Choisir,Shield Maiden,Military Plume
3751,HARSH BROWN (L166) (Deregistered),AUS,,Bay , Gelding,PPG,582400,1,1,0,8,Commands,Conquered,Star Watch
3752,SUPERIOR WARRIOR (L167) (Retired),AUS,,Bay , Gelding,PPG,1203088,1,2,5,22,Fastnet Rock,Flurry's Autumn,Southern Appeal
3753,MULTIGLORY (L168) (Retired),AUS,,Bay , Gelding,PPG,5380500,6,2,1,22,King Of Danes,Who's Blushing,Staroka
3754,EMPIRE CITY (L169) (Retired),AUS,,Chestnut , Gelding,PPG,1475800,3,1,0,35,State City,Timeless Tenby,Tenby
3755,FORTUNE (L170) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,1,Tale Of The Cat,Match Point,Sri Pekan
3756,HOME WITH GLORY (L171) (Retired),IRE,,Bay , Gelding,PP,3023175,5,3,6,50,Captain Rio,Aspired,Mark Of Esteem
3757,EASTERN EMPIRE (L172) (Retired),GB,,Bay , Gelding,PP,2523625,3,3,4,39,Dubai Destination,Possessive Artiste,Shareef Dancer
3758,OUTDOOR PEGASUS (L173) (Retired),GB,,Chestnut , Gelding,PP,6211500,4,5,4,48,Dubawi,Kelang,Kris
3759,EXCEPTIONAL ART (L174) (Retired),GB,,Chestnut , Gelding,PP,1182000,1,2,0,16,Exceed And Excel,Only In Dreams,Polar Falcon
3760,WIN WIN FELLOWSHIP (L175) (Retired),IRE,,Bay , Gelding,PP,0,0,0,0,16,Green Tune,Flyamore,Sanglamore
3761,LET ME FIGHT (L176) (Retired),IRE,,Bay , Gelding,PP,5596250,1,6,4,22,Hawk Wing,Riva Royale,Royal Applause
3762,FUN AND FAST (L177) (Retired),GB,,Bay , Gelding,PP,636100,1,1,2,32,Kyllachy,Dance Sequence,Mr Prospector
3763,FINAL ANSWER (L178) (Retired),GB,,Bay , Gelding,PP,4695000,6,1,1,35,Kyllachy,Valandraud,College Chapel
3764,JACOBEE (L179) (Retired),GB,,Bay , Gelding,PP,6456500,5,1,3,22,Mark Of Esteem,Sweet Cando,Royal Applause
3765,KELLY'S HORSE (L180) (Retired),GB,,Bay , Gelding,PP,51000,0,0,0,4,Namid,Syrian Queen,Slip Anchor
